experiment,phase,model,target_interval_sec,attacker_share,confirmations,acceptance_policy,success_probability,ci_lower,ci_upper,expected_wait_sec,median_wait_sec,expected_work
P0_analytical_baseline,I,analytical_poisson,,0.3,1,600s × 1,0.627749109982254,,,,,
P0_analytical_baseline,I,analytical_exact,,0.3,2,600s × 2,0.23297142857142886,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.3,2,600s × 2,0.2230141484398701,,,,,
P0_analytical_baseline,I,analytical_exact,,0.3,2,600s × 2,0.43200000000000016,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.3,2,600s × 2,0.44571709952398375,,,,,
P0_analytical_baseline,I,analytical_exact,,0.3,3,600s × 3,0.18005142857142897,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.3,3,600s × 3,0.1629264269067332,,,,,
P0_analytical_baseline,I,analytical_exact,,0.3,3,600s × 3,0.3261600000000003,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.3,3,600s × 3,0.32458410182048103,,,,,
P0_analytical_baseline,I,analytical_exact,,0.3,5,600s × 5,0.11174970137142892,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.3,5,600s × 5,0.08874442568714558,,,,,
P0_analytical_baseline,I,analytical_exact,,0.3,5,600s × 5,0.19761732000000035,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.3,5,600s × 5,0.1773523113609451,,,,,
P0_analytical_baseline,I,analytical_exact,,0.3,10,600s × 10,0.03769991528754782,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.3,10,600s × 10,0.02054626120387293,,,,,
P0_analytical_baseline,I,analytical_exact,,0.3,10,600s × 10,0.0651067137626013,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.3,10,600s × 10,0.04166047996897937,,,,,
P0_analytical_baseline,I,analytical_exact,,0.35,1,600s × 1,0.4334615384615384,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.35,1,600s × 1,0.44052918663160356,,,,,
P0_analytical_baseline,I,analytical_exact,,0.35,1,600s × 1,0.7,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.35,1,600s × 1,0.7306251639337351,,,,,
P0_analytical_baseline,I,analytical_exact,,0.35,2,600s × 2,0.3617990384615384,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.35,2,600s × 2,0.3608891643072497,,,,,
P0_analytical_baseline,I,analytical_exact,,0.35,2,600s × 2,0.5634999999999999,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.35,2,600s × 2,0.588810786934213,,,,,
P0_analytical_baseline,I,analytical_exact,,0.35,3,600s × 3,0.3074549759615386,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.35,3,600s × 3,0.29822301608385726,,,,,
P0_analytical_baseline,I,analytical_exact,,0.35,3,600s × 3,0.4703387500000001,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.35,3,600s × 3,0.4844586102681797,,,,,
P0_analytical_baseline,I,analytical_exact,,0.35,5,600s × 5,0.22874419064786639,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.35,5,600s × 5,0.20701897156923144,,,,,
P0_analytical_baseline,I,analytical_exact,,0.35,5,600s × 5,0.34343857105468734,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.35,5,600s × 5,0.33636477529888165,,,,,
P0_analytical_baseline,I,analytical_exact,,0.35,10,600s × 10,0.11874077625846857,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.35,10,600s × 10,0.08710102050000967,,,,,
P0_analytical_baseline,I,analytical_exact,,0.35,10,600s × 10,0.174947200740346,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.35,10,600s × 10,0.14280535760069601,,,,,
P0_analytical_baseline,I,analytical_exact,,0.4,1,600s × 1,0.5866666666666667,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.4,1,600s × 1,0.6006755740857618,,,,,
P0_analytical_baseline,I,analytical_exact,,0.4,1,600s × 1,0.8,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.4,1,600s × 1,0.8288609603224694,,,,,
P0_analytical_baseline,I,analytical_exact,,0.4,2,600s × 2,0.5290666666666668,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.4,2,600s × 2,0.5411457225392906,,,,,
P0_analytical_baseline,I,analytical_exact,,0.4,2,600s × 2,0.7040000000000002,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.4,2,600s × 2,0.7364028618842733,,,,,
P0_analytical_baseline,I,analytical_exact,,0.4,3,600s × 3,0.48298666666666673,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.4,3,600s × 3,0.4904041804053475,,,,,
P0_analytical_baseline,I,analytical_exact,,0.4,3,600s × 3,0.6348800000000001,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.4,3,600s × 3,0.6641680008572945,,,,,
P0_analytical_baseline,I,analytical_exact,,0.4,5,600s × 5,0.41083644586666657,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.4,5,600s × 5,0.40747242417057916,,,,,
P0_analytical_baseline,I,analytical_exact,,0.4,5,600s × 5,0.53313536,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.4,5,600s × 5,0.5506251290702074,,,,,
P0_analytical_baseline,I,analytical_exact,,0.4,10,600s × 10,0.2906297772696198,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.4,10,600s × 10,0.26550226114450504,,,,,
P0_analytical_baseline,I,analytical_exact,,0.4,10,600s × 10,0.3721840428308222,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.4,10,600s × 10,0.3599763240066036,,,,,
P0_analytical_baseline,I,analytical_exact,,0.45,1,600s × 1,0.7731818181818181,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.45,1,600s × 1,0.7884998038836439,,,,,
P0_analytical_baseline,I,analytical_exact,,0.45,1,600s × 1,0.8999999999999999,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.45,1,600s × 1,0.9197757876800029,,,,,
P0_analytical_baseline,I,analytical_exact,,0.45,2,600s × 2,0.739769318181818,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.45,2,600s × 2,0.759237924933384,,,,,
P0_analytical_baseline,I,analytical_exact,,0.45,2,600s × 2,0.8504999999999998,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.45,2,600s × 2,0.8777174393950844,,,,,
P0_analytical_baseline,I,analytical_exact,,0.45,3,600s × 3,0.7122040056818182,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.45,3,600s × 3,0.7331873473534987,,,,,
P0_analytical_baseline,I,analytical_exact,,0.45,3,600s × 3,0.8137462499999999,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.45,3,600s × 3,0.8443949783213225,,,,,
P0_analytical_baseline,I,analytical_exact,,0.45,5,600s × 5,0.6670498530384587,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.45,5,600s × 5,0.6878674205945214,,,,,
P0_analytical_baseline,I,analytical_exact,,0.45,5,600s × 5,0.7571581091015623,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.45,5,600s × 5,0.789785814061307,,,,,
P0_analytical_baseline,I,analytical_exact,,0.45,10,600s × 10,0.5836302087334432,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.45,10,600s × 10,0.5976309781307891,,,,,
P0_analytical_baseline,I,analytical_exact,,0.45,10,600s × 10,0.6579281751567838,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.45,10,600s × 10,0.6854240103232614,,,,,
P0_analytical_baseline,I,analytical_exact,,0.49,1,600s × 1,0.9509843137254901,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.49,1,600s × 1,0.9561658503349567,,,,,
P0_analytical_baseline,I,analytical_exact,,0.49,1,600s × 1,0.98,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.49,1,600s × 1,0.9849963648797503,,,,,
P0_analytical_baseline,I,analytical_exact,,0.49,2,600s × 2,0.9436372537254901,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.49,2,600s × 2,0.9512197480004156,,,,,
P0_analytical_baseline,I,analytical_exact,,0.49,2,600s × 2,0.9700039999999999,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.49,2,600s × 2,0.9777142023846626,,,,,
P0_analytical_baseline,I,analytical_exact,,0.49,3,600s × 3,0.9375171527454901,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.49,3,600s × 3,0.946809771873557,,,,,
P0_analytical_baseline,I,analytical_exact,,0.49,3,600s × 3,0.9625099988,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.49,3,600s × 3,0.9721313580183153,,,,,
P0_analytical_baseline,I,analytical_exact,,0.49,5,600s × 5,0.9273484817940677,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.49,5,600s × 5,0.9391522545570484,,,,,
P0_analytical_baseline,I,analytical_exact,,0.49,5,600s × 5,0.9508074905517997,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.49,5,600s × 5,0.9632123913400411,,,,,
P0_analytical_baseline,I,analytical_exact,,0.49,10,600s × 10,0.9079370608092853,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.49,10,600s × 10,0.9237949159702747,,,,,
P0_analytical_baseline,I,analytical_exact,,0.49,10,600s × 10,0.9296056726466805,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.49,10,600s × 10,0.9464793832760894,,,,,
P1_validate_simulators,I,event_bernoulli,600.0,0.05,1,600s × 1,0.00779,0.007414037484784159,0.008184870196511786,600.0,415.8883083359673,1.0
P1_validate_simulators,I,distribution,600.0,0.05,1,600s × 1,0.00748,0.007111726220704986,0.007867193368884575,600.0,415.8883083359673,1.0
P1_validate_simulators,I,event_bernoulli,600.0,0.05,1,600s × 1,0.10086,0.09954786240394928,0.10218747010029172,600.0,415.8883083359673,1.0
P1_validate_simulators,I,distribution,600.0,0.05,1,600s × 1,0.099445,0.09814114904828282,0.10076423781155648,600.0,415.8883083359673,1.0
P1_validate_simulators,I,event_bernoulli,600.0,0.05,2,600s × 2,0.001215,0.00107161006642804,0.001377550185934157,1200.0,1007.0081940099967,2.0
P1_validate_simulators,I,distribution,600.0,0.05,2,600s × 2,0.00122,0.0010762971605150172,0.0013828628997779278,1200.0,1007.0081940099967,2.0
P1_validate_simulators,I,event_bernoulli,600.0,0.05,2,600s × 2,0.014795,0.014275122674148885,0.015333515918125144,1200.0,1007.0081940099967,2.0
P1_validate_simulators,I,distribution,600.0,0.05,2,600s × 2,0.014415,0.013901867254466387,0.014946785935070785,1200.0,1007.0081940099967,2.0
P1_validate_simulators,I,event_bernoulli,600.0,0.05,3,600s × 3,0.00015,0.00010507739576390072,0.0002141237673489518,1800.0,1604.436188234137,3.0
P1_validate_simulators,I,distribution,600.0,0.05,3,600s × 3,0.000205,0.00015112698484037935,0.0002780720655107022,1800.0,1604.436188234137,3.0
P1_validate_simulators,I,event_bernoulli,600.0,0.05,3,600s × 3,0.00245,0.0022426854715764943,0.002676427339680483,1800.0,1604.436188234137,3.0
P1_validate_simulators,I,distribution,600.0,0.05,3,600s × 3,0.002295,0.002094630557252694,0.0025144882081510923,1800.0,1604.436188234137,3.0
P1_validate_simulators,I,event_bernoulli,600.0,0.05,5,600s × 5,0.0,0.0,1.920692519040967e-05,3000.0,2802.5453296775913,5.0
P1_validate_simulators,I,distribution,600.0,0.05,5,600s × 5,2e-05,7.777636035442469e-06,5.142852087795959e-05,3000.0,2802.5453296775913,5.0
P1_validate_simulators,I,event_bernoulli,600.0,0.05,5,600s × 5,7.5e-05,4.5453456606938166e-05,0.00012375058754469294,3000.0,2802.5453296775913,5.0
P1_validate_simulators,I,distribution,600.0,0.05,5,600s × 5,7.5e-05,4.5453456606938166e-05,0.00012375058754469294,3000.0,2802.5453296775913,5.0
P1_validate_simulators,I,event_bernoulli,600.0,0.05,10,600s × 10,0.0,0.0,1.920692519040967e-05,6000.0,5801.228768828478,10.0
P1_validate_simulators,I,distribution,600.0,0.05,10,600s × 10,0.0,0.0,1.920692519040967e-05,6000.0,5801.228768828478,10.0
P1_validate_simulators,I,event_bernoulli,600.0,0.05,10,600s × 10,0.0,0.0,1.920692519040967e-05,6000.0,5801.228768828478,10.0
P1_validate_simulators,I,distribution,600.0,0.05,10,600s × 10,0.0,0.0,1.920692519040967e-05,6000.0,5801.228768828478,10.0
P1_validate_simulators,I,event_bernoulli,600.0,0.1,1,600s × 1,0.03113,0.030377835600474423,0.031900175501553635,600.0,415.8883083359673,1.0
P1_validate_simulators,I,distribution,600.0,0.1,1,600s × 1,0.030925,0.030175269294790013,0.03169274968207737,600.0,415.8883083359673,1.0
P1_validate_simulators,I,event_bernoulli,600.0,0.1,1,600s × 1,0.20023,0.19848196442222402,0.20198955089770468,600.0,415.8883083359673,1.0
P1_validate_simulators,I,distribution,600.0,0.1,1,600s × 1,0.199835,0.1980882700940581,0.2015932603993415,600.0,415.8883083359673,1.0
P1_validate_simulators,I,event_bernoulli,600.0,0.1,2,600s × 2,0.009545,0.009128193720800697,0.00998064654418783,1200.0,1007.0081940099967,2.0
P1_validate_simulators,I,distribution,600.0,0.1,2,600s × 2,0.009565,0.009147751558300478,0.010001087938411042,1200.0,1007.0081940099967,2.0
P1_validate_simulators,I,event_bernoulli,600.0,0.1,2,600s × 2,0.05622,0.055218979751675286,0.05723806754684672,1200.0,1007.0081940099967,2.0
